Pp3c10_11020,0.67272328,0.448079345,0.233348345
Pp3c10_11040,0.996240561,0.331781902,0.691134359
Pp3c10_11042,0,0,0
Pp3c10_11080,0,0,0
Pp3c10_11120,17.39699747,21.29733196,16.60088678
Pp3c10_11150,15.52441656,16.6015535,17.26905238
Pp3c10_11160,6.188706774,5.766306446,7.018933973
Pp3c10_11170,0,0,0
Pp3c10_11180,0,0,0
Pp3c10_11190,117.3398466,130.6930124,127.0224454
Pp3c10_11200,0,0,0
Pp3c10_11210,0,0,0
Pp3c10_11219,3.893505698,4.708957566,6.041912175
Pp3c10_11240,8.152126053,7.736747256,6.800171339
Pp3c10_11250,6.017434394,7.885007708,7.658692971
Pp3c10_11280,7.775720964,8.53466833,8.965253833
Pp3c10_11290,2.572762379,3.891050344,2.947433043
Pp3c10_11330,2.887663741,1.750184613,2.1646978
Pp3c10_11348,11.26190063,10.54515099,8.945156763
Pp3c10_11360,50.66797307,56.71120777,52.84774134
Pp3c10_11390,9.902197908,10.49527692,9.949979593
Pp3c10_11420,21.72701823,21.61890026,22.7017154
Pp3c10_11430,11.29801997,11.41123644,13.0739008
Pp3c10_11440,15.52013396,14.222568,9.519147327
Pp3c10_11500,0.312613885,0.283939168,0.059147324
